_link,_link_anac-cig,CUP
0.bando.CUP.0,0,J47H21006060005
1.bando.CUP.0,1,J49J21011540005
2.bando.CUP.0,2,B41B20001040001
3.bando.CUP.0,3,B41B20001030001
4.bando.CUP.0,4,B41B20001040001
5.bando.CUP.0,5,J47H21007920001
6.bando.CUP.0,6,J49J22000450001
7.bando.CUP.0,7,J47H22000240001
8.bando.CUP.0,8,C81B21003510001
8.bando.CUP.1,8,C84E21000290001
8.bando.CUP.2,8,C87H21000520001
8.bando.CUP.3,8,C87H21000540001
8.bando.CUP.4,8,F41B20000460001
8.bando.CUP.5,8,F41B21000640001
8.bando.CUP.6,8,G31B21000770001
8.bando.CUP.7,8,G34E21000150001
8.bando.CUP.8,8,G34E21000230001
8.bando.CUP.9,8,G34E21000240001
8.bando.CUP.10,8,G34E21000250001
8.bando.CUP.11,8,G34E21000260001
8.bando.CUP.12,8,H38I19000070001
8.bando.CUP.13,8,H39J18000210001
8.bando.CUP.14,8,H39J19000990001
8.bando.CUP.15,8,I98I21000110001
8.bando.CUP.16,8,I99J21000460001
9.bando.CUP.0,9,C81B21003510001
9.bando.CUP.1,9,C84E21000290001
9.bando.CUP.2,9,C87H21000520001
9.bando.CUP.3,9,C87H21000530001
9.bando.CUP.4,9,C87H21000540001
9.bando.CUP.5,9,F41B20000460001
9.bando.CUP.6,9,F41B21000640001
9.bando.CUP.7,9,G31B21000770001
9.bando.CUP.8,9,G34E21000150001
9.bando.CUP.9,9,G34E21000230001
9.bando.CUP.10,9,G34E21000240001
9.bando.CUP.11,9,G34E21000250001
9.bando.CUP.12,9,G34E21000260001
9.bando.CUP.13,9,H38I19000070001
9.bando.CUP.14,9,H39J18000210001
9.bando.CUP.15,9,H39J19000990001
9.bando.CUP.16,9,I98I21000110001
9.bando.CUP.17,9,I99J21000460001
10.bando.CUP.0,10,C87H21000530001
10.bando.CUP.1,10,F41B20000460001
10.bando.CUP.2,10,F41B21000640001
11.bando.CUP.0,11,B42E20000150001
12.bando.CUP.0,12,B41B20001030001
13.bando.CUP.0,13,B41B20001030001
14.bando.CUP.0,14,B42E20000150001
15.bando.CUP.0,15,B43I22000150006
16.bando.CUP.0,16,B41B20001040001
17.bando.CUP.0,17,H45F21003510006
18.bando.CUP.0,18,B41I22000080006
18.bando.CUP.1,18,B44D22000200006
18.bando.CUP.2,18,B44J22000030006
18.bando.CUP.3,18,B47B22000040006
18.bando.CUP.4,18,B59J22000520006
18.bando.CUP.5,18,C96D11000160006
18.bando.CUP.6,18,D21B22000120006
18.bando.CUP.7,18,D62J22000020001
18.bando.CUP.8,18,D62J22000060001
18.bando.CUP.9,18,D62J22000090001
18.bando.CUP.10,18,D63G22000020006
18.bando.CUP.11,18,D74H22000320001
18.bando.CUP.12,18,D78H22000180006
18.bando.CUP.13,18,E41B20001910006
18.bando.CUP.14,18,E48I20000230006
18.bando.CUP.15,18,H48I22000260006
18.bando.CUP.16,18,I61E17000590006
19.bando.CUP.0,19,B41I22000080006
19.bando.CUP.1,19,B44D22000200006
19.bando.CUP.2,19,B44J22000030006
19.bando.CUP.3,19,B47B22000040006
19.bando.CUP.4,19,B57H22000190006
19.bando.CUP.5,19,B59J22000520006
19.bando.CUP.6,19,D21B22000120006
19.bando.CUP.7,19,D62J22000020001
19.bando.CUP.8,19,D62J22000060001
19.bando.CUP.9,19,D62J22000090001
19.bando.CUP.10,19,D74H22000320001
19.bando.CUP.11,19,D78H22000180006
19.bando.CUP.12,19,H48I22000260006
19.bando.CUP.13,19,I61E17000590006
20.bando.CUP.0,20,B41I22000080006
20.bando.CUP.1,20,B44D22000200006
20.bando.CUP.2,20,B44J22000030006
20.bando.CUP.3,20,B47B22000040006
20.bando.CUP.4,20,B57H22000190006
20.bando.CUP.5,20,C87H22000050006
20.bando.CUP.6,20,D21B22000120006
20.bando.CUP.7,20,D62J22000020001
20.bando.CUP.8,20,D62J22000060001
20.bando.CUP.9,20,D62J22000090001
20.bando.CUP.10,20,D78H22000180006
20.bando.CUP.11,20,E41B20001910006
20.bando.CUP.12,20,E48I20000230006
20.bando.CUP.13,20,I61E17000590006
21.bando.CUP.0,21,B41I22000080006
21.bando.CUP.1,21,B44D22000200006
21.bando.CUP.2,21,B44J22000030006
21.bando.CUP.3,21,B47B22000040006
21.bando.CUP.4,21,B57H22000190006
21.bando.CUP.5,21,B59J22000520006
21.bando.CUP.6,21,B81B22000740001
21.bando.CUP.7,21,C96D11000160006
21.bando.CUP.8,21,D21B22000120006
21.bando.CUP.9,21,D62J22000020001
21.bando.CUP.10,21,D62J22000060001
21.bando.CUP.11,21,D62J22000090001
21.bando.CUP.12,21,D74H22000320001
21.bando.CUP.13,21,D78H22000180006
21.bando.CUP.14,21,E13D22000060005
21.bando.CUP.15,21,E41B20001910006
21.bando.CUP.16,21,E48I20000230006
21.bando.CUP.17,21,H48I22000260006
21.bando.CUP.18,21,I61E17000590006
22.bando.CUP.0,22,B41I22000040006
22.bando.CUP.1,22,B41I22000050006
22.bando.CUP.2,22,B41I22000070006
22.bando.CUP.3,22,B53D22000380001
22.bando.CUP.4,22,D62J22000070001
22.bando.CUP.5,22,D62J22000100006
22.bando.CUP.6,22,D88I22000030001
22.bando.CUP.7,22,D89J22000540001
22.bando.CUP.8,22,D89J22000550001
23.bando.CUP.0,23,B41I22000040006
23.bando.CUP.1,23,B41I22000050006
23.bando.CUP.2,23,B41I22000070006
23.bando.CUP.3,23,B53D22000380001
23.bando.CUP.4,23,D62J22000070001
23.bando.CUP.5,23,D62J22000100006
23.bando.CUP.6,23,D88I22000030001
23.bando.CUP.7,23,D89J22000540001
23.bando.CUP.8,23,D89J22000550001
24.bando.CUP.0,24,B41I22000070006
24.bando.CUP.1,24,B53D22000380001
24.bando.CUP.2,24,D62J22000070001
24.bando.CUP.3,24,D62J22000100006
24.bando.CUP.4,24,D88I22000030001
24.bando.CUP.5,24,D89J22000540001
24.bando.CUP.6,24,D89J22000550001
25.bando.CUP.0,25,B42F22000090006
25.bando.CUP.1,25,B42F22000100006
