_link,_link_anac-cig,CUP
25.bando.CUP.2,25,B87B22000030006
25.bando.CUP.3,25,D83D22000190001
25.bando.CUP.4,25,E63D22000100006
25.bando.CUP.5,25,H74E22000190006
25.bando.CUP.6,25,J44C15000000001
26.bando.CUP.0,26,B41I22000060006
26.bando.CUP.1,26,B42F22000090006
26.bando.CUP.2,26,B42F22000100006
26.bando.CUP.3,26,B87B22000030006
26.bando.CUP.4,26,D83D22000190001
26.bando.CUP.5,26,E63D22000100006
26.bando.CUP.6,26,F79J22000840003
26.bando.CUP.7,26,H74E22000190006
26.bando.CUP.8,26,J44C15000000001
27.bando.CUP.0,27,B41I22000040006
27.bando.CUP.1,27,B41I22000050006
27.bando.CUP.2,27,B41I22000070006
27.bando.CUP.3,27,D62J22000070001
27.bando.CUP.4,27,D62J22000100006
28.bando.CUP.0,28,B41I22000060006
28.bando.CUP.1,28,B42F22000090006
28.bando.CUP.2,28,B42F22000100006
28.bando.CUP.3,28,B87B22000030006
28.bando.CUP.4,28,D59D22000030006
28.bando.CUP.5,28,D73C22000280006
28.bando.CUP.6,28,D83D22000190001
28.bando.CUP.7,28,E63D22000100006
28.bando.CUP.8,28,F79J22000840003
28.bando.CUP.9,28,H74E22000190006
28.bando.CUP.10,28,J44C15000000001
29.bando.CUP.0,29,B41I22000060006
29.bando.CUP.1,29,B42F22000090006
29.bando.CUP.2,29,B42F22000100006
29.bando.CUP.3,29,B87B22000030006
29.bando.CUP.4,29,D59D22000030006
29.bando.CUP.5,29,H74E22000190006
29.bando.CUP.6,29,J44C15000000001
30.bando.CUP.0,30,J47H21006060005
31.bando.CUP.0,31,H45F21003510006
32.bando.CUP.0,32,B41B20001030001
33.bando.CUP.0,33,J49J22000550006
34.bando.CUP.0,34,J44E22003120006
35.bando.CUP.0,35,J44E22003180006
36.bando.CUP.0,36,J44E22003100006
37.bando.CUP.0,37,B42E20000150001
38.bando.CUP.0,38,I41B20001010006
39.bando.CUP.0,39,J54E22000430006
40.bando.CUP.0,40,C41F22001890006
41.bando.CUP.0,41,H44E22000900006
42.bando.CUP.0,42,F45B22000030006
43.bando.CUP.0,43,F47D22000050006
44.bando.CUP.0,44,F42F22000520006
45.bando.CUP.0,45,F45E22000170006
46.bando.CUP.0,46,F42F22000520006
47.bando.CUP.0,47,F19C22000290006
47.bando.CUP.1,47,F29C22000090006
47.bando.CUP.2,47,F29C22000100006
47.bando.CUP.3,47,F39C22000060006
47.bando.CUP.4,47,F39C22000090006
47.bando.CUP.5,47,F49C22000120006
47.bando.CUP.6,47,F59C22000070006
47.bando.CUP.7,47,F59C22000080006
47.bando.CUP.8,47,F69C22000070006
47.bando.CUP.9,47,F69C22000080006
47.bando.CUP.10,47,F69C22000090006
47.bando.CUP.11,47,F69C22000380006
47.bando.CUP.12,47,F69C22000390006
47.bando.CUP.13,47,F79C22000440006
47.bando.CUP.14,47,F79C22000450006
47.bando.CUP.15,47,F79C22000460006
47.bando.CUP.16,47,F89C22000360006
47.bando.CUP.17,47,F89C22000380006
47.bando.CUP.18,47,F96J22000220006
47.bando.CUP.19,47,F99C22000040006
47.bando.CUP.20,47,F99C22000050006
47.bando.CUP.21,47,F99C22000170006
47.bando.CUP.22,47,G25F21003270006
47.bando.CUP.23,47,G27H21038270006
47.bando.CUP.24,47,G45F21002780006
47.bando.CUP.25,47,G45F22000020001
47.bando.CUP.26,47,G55F21001190006
47.bando.CUP.27,47,G55F21001220006
47.bando.CUP.28,47,G55F21001240006
47.bando.CUP.29,47,G55F21001250006
47.bando.CUP.30,47,G75F22000010001
47.bando.CUP.31,47,G85F22000000001
47.bando.CUP.32,47,G95F21001560006
48.bando.CUP.0,48,F19C22000290006
48.bando.CUP.1,48,F29C22000090006
48.bando.CUP.2,48,F29C22000100006
48.bando.CUP.3,48,F39C22000060006
48.bando.CUP.4,48,F39C22000090006
48.bando.CUP.5,48,F49C22000120006
48.bando.CUP.6,48,F59C22000070006
48.bando.CUP.7,48,F59C22000080006
48.bando.CUP.8,48,F69C22000070006
48.bando.CUP.9,48,F69C22000080006
48.bando.CUP.10,48,F69C22000090006
48.bando.CUP.11,48,F69C22000380006
48.bando.CUP.12,48,F69C22000390006
48.bando.CUP.13,48,F79C22000440006
48.bando.CUP.14,48,F79C22000450006
48.bando.CUP.15,48,F79C22000460006
48.bando.CUP.16,48,F89C22000360006
48.bando.CUP.17,48,F89C22000380006
48.bando.CUP.18,48,F96J22000220006
48.bando.CUP.19,48,F99C22000040006
48.bando.CUP.20,48,F99C22000050006
48.bando.CUP.21,48,F99C22000170006
48.bando.CUP.22,48,G25F21003270006
48.bando.CUP.23,48,G27H21038270006
48.bando.CUP.24,48,G45F21002780006
48.bando.CUP.25,48,G45F22000020001
48.bando.CUP.26,48,G55F21001190006
48.bando.CUP.27,48,G55F21001220006
48.bando.CUP.28,48,G55F21001240006
48.bando.CUP.29,48,G55F21001250006
48.bando.CUP.30,48,G75F22000010001
48.bando.CUP.31,48,G85F22000000001
48.bando.CUP.32,48,G95F21001560006
49.bando.CUP.0,49,J44E22003160006
50.bando.CUP.0,50,B47G22000050006
51.bando.CUP.0,51,F49J21017950001
52.bando.CUP.0,52,D49J22000420006
53.bando.CUP.0,53,D49E21000010001
54.bando.CUP.0,54,D49E21000010001
55.bando.CUP.0,55,D49E21000010001
56.bando.CUP.0,56,D41F22000280006
57.bando.CUP.0,57,J41B21008780001
58.bando.CUP.0,58,F47G22000060006
59.bando.CUP.0,59,D49J22000420006
