_link,_link_anac-cig,COD_CPV,DESCRIZIONE_CPV,FLAG_PREVALENTE
0.bando.CPV.0,0,45454000-4,LAVORI DI RISTRUTTURAZIONE,1
1.bando.CPV.0,1,44221110-9,INFISSI DI FINESTRE,1
2.bando.CPV.0,2,71356300-1,SERVIZI DI SUPPORTO TECNICO,1
3.bando.CPV.0,3,71356300-1,SERVIZI DI SUPPORTO TECNICO,1
4.bando.CPV.0,4,71248000-8,SUPERVISIONE DI PROGETTI E DOCUMENTAZIONE,1
5.bando.CPV.0,5,45223110-0,INSTALLAZIONE DI STRUTTURE METALLICHE,1
6.bando.CPV.0,6,71335000-5,STUDI DI INGEGNERIA,1
7.bando.CPV.0,7,71335000-5,STUDI DI INGEGNERIA,1
8.bando.CPV.0,8,71330000-0,VARI SERVIZI DI INGEGNERIA,1
9.bando.CPV.0,9,71328000-3,SERVIZI DI VERIFICA DELLA PROGETTAZIONE DI STRUTTURE PORTANTI,1
10.bando.CPV.0,10,45215214-0,LAVORI DI COSTRUZIONE DI CASE RESIDENZIALI,1
11.bando.CPV.0,11,71248000-8,SUPERVISIONE DI PROGETTI E DOCUMENTAZIONE,1
12.bando.CPV.0,12,71248000-8,SUPERVISIONE DI PROGETTI E DOCUMENTAZIONE,1
13.bando.CPV.0,13,71248000-8,SUPERVISIONE DI PROGETTI E DOCUMENTAZIONE,1
14.bando.CPV.0,14,71248000-8,SUPERVISIONE DI PROGETTI E DOCUMENTAZIONE,1
15.bando.CPV.0,15,90721100-8,SERVIZI DI PROTEZIONE DEL PAESAGGIO,1
16.bando.CPV.0,16,71248000-8,SUPERVISIONE DI PROGETTI E DOCUMENTAZIONE,1
17.bando.CPV.0,17,71311100-2,SERVIZI DI ASSISTENZA IN INGEGNERIA CIVILE,1
18.bando.CPV.0,18,71330000-0,VARI SERVIZI DI INGEGNERIA,1
19.bando.CPV.0,19,71328000-3,SERVIZI DI VERIFICA DELLA PROGETTAZIONE DI STRUTTURE PORTANTI,1
20.bando.CPV.0,20,45210000-2,LAVORI GENERALI DI COSTRUZIONE DI EDIFICI,1
21.bando.CPV.0,21,71315400-3,SERVIZI DI COLLAUDO E VERIFICA DI EDIFICI,1
22.bando.CPV.0,22,71330000-0,VARI SERVIZI DI INGEGNERIA,1
23.bando.CPV.0,23,71315400-3,SERVIZI DI COLLAUDO E VERIFICA DI EDIFICI,1
24.bando.CPV.0,24,71328000-3,SERVIZI DI VERIFICA DELLA PROGETTAZIONE DI STRUTTURE PORTANTI,1
25.bando.CPV.0,25,71328000-3,SERVIZI DI VERIFICA DELLA PROGETTAZIONE DI STRUTTURE PORTANTI,1
26.bando.CPV.0,26,71315400-3,SERVIZI DI COLLAUDO E VERIFICA DI EDIFICI,1
27.bando.CPV.0,27,45112720-8,LAVORI DI ARCHITETTURA PAESAGGISTICA PER AREE RICREATIVE E SPORTIVE,1
28.bando.CPV.0,28,71330000-0,VARI SERVIZI DI INGEGNERIA,1
29.bando.CPV.0,29,45454100-5,LAVORI DI RESTAURO,1
30.bando.CPV.0,30,45454000-4,LAVORI DI RISTRUTTURAZIONE,1
31.bando.CPV.0,31,71340000-3,SERVIZI DI INGEGNERIA INTEGRATI,1
32.bando.CPV.0,32,71248000-8,SUPERVISIONE DI PROGETTI E DOCUMENTAZIONE,1
33.bando.CPV.0,33,44211500-7,SERRE,1
34.bando.CPV.0,34,71322000-1,SERVIZI DI PROGETTAZIONE TECNICA PER LA COSTRUZIONE DI OPERE DI INGEGNERIA CIVILE,1
35.bando.CPV.0,35,71322000-1,SERVIZI DI PROGETTAZIONE TECNICA PER LA COSTRUZIONE DI OPERE DI INGEGNERIA CIVILE,1
36.bando.CPV.0,36,71322000-1,SERVIZI DI PROGETTAZIONE TECNICA PER LA COSTRUZIONE DI OPERE DI INGEGNERIA CIVILE,1
37.bando.CPV.0,37,71248000-8,SUPERVISIONE DI PROGETTI E DOCUMENTAZIONE,1
38.bando.CPV.0,38,48517000-5,PACCHETTI SOFTWARE IT,1
39.bando.CPV.0,39,71330000-0,VARI SERVIZI DI INGEGNERIA,1
40.bando.CPV.0,40,72413000-8,SERVIZI DI PROGETTAZIONE DI SITI PER IL WORLD WIDE WEB (WWW),1
41.bando.CPV.0,41,33115000-9,APPARECCHI PER TOMOGRAFIA,1
42.bando.CPV.0,42,71220000-6,SERVIZI DI PROGETTAZIONE ARCHITETTONICA,1
43.bando.CPV.0,43,71220000-6,SERVIZI DI PROGETTAZIONE ARCHITETTONICA,1
44.bando.CPV.0,44,03117000-4,PIANTE UTILIZZATE IN SETTORI SPECIFICI,1
45.bando.CPV.0,45,71330000-0,VARI SERVIZI DI INGEGNERIA,1
46.bando.CPV.0,46,71313000-5,SERVIZI DI CONSULENZA IN INGEGNERIA AMBIENTALE,1
47.bando.CPV.0,47,71330000-0,VARI SERVIZI DI INGEGNERIA,1
48.bando.CPV.0,48,71330000-0,VARI SERVIZI DI INGEGNERIA,1
49.bando.CPV.0,49,45454000-4,LAVORI DI RISTRUTTURAZIONE,1
