CIG,CUP
95338806A9,G45F22000020001
9451137CF8,J44E22003100006
9424874411,B41I22000070006
Z1A34A9C2C,F49J21017950001
Z363832493,D49J22000420006
9424827D45,B41I22000040006
Z763710E67,D49E21000010001
9180888473,F41B21000640001
942477525F,B44J22000030006
905020516E,J47H21007920001
9509348238,F45B22000030006
9437916EA7,H45F21003510006
9022379EAC,B41B20001040001
9341651E43,B42E20000150001
9030558C33,B41B20001030001
9539358F3D,J44E22003160006
9424829EEB,B41I22000070006
9424886DF5,B42F22000100006
Z83380785F,D41F22000280006
942477525F,B44D22000200006
9412495C95,H45F21003510006
94246413CA,B41I22000080006
Z73379CDF7,D49E21000010001
9180888473,F41B20000460001
9179733B4E,F41B20000460001
9473630EC7,I41B20001010006
9424863AFB,B41I22000060006
9444917014,J49J22000550006
93060191D2,B42E20000150001
942477418C,B44D22000200006
9424690C37,B44J22000030006
9424886DF5,B41I22000060006
Z1339083C3,B47G22000050006
9175625D46,J47H22000240001
95165086D5,F42F22000520006
9344557C5F,B43I22000150006
9424863AFB,B42F22000100006
9424901A57,B41I22000060006
9443661397,B41B20001030001
ZC9389C33A,D49J22000420006
Z94331A01F,J41B21008780001
9313921ABF,B41B20001030001
9424874411,B41I22000040006
942812815B,J47H21006060005
ZB43936940,F47G22000060006
94248418D4,B42F22000090006
91314338E3,J49J22000450001
9519891E90,F42F22000520006
9424827D45,B41I22000050006
9424901A57,B42F22000100006
9309708613,B41B20001030001
9019801F3D,J49J21011540005
939257239D,B41B20001040001
945091234E,J44E22003120006
942477525F,B41I22000080006
94509903AC,J44E22003180006
9180083C22,F41B20000460001
949692566E,C41F22001890006
94246413CA,B44J22000030006
9424809E6A,B41I22000070006
9424690C37,B41I22000080006
9424874411,B41I22000050006
9472763352,B42E20000150001
9180083C22,F41B21000640001
9424886DF5,B42F22000090006
948267354F,J54E22000430006
Z5838FB3DF,D49E21000010001
94248418D4,B42F22000100006
9424863AFB,B42F22000090006
95018327D0,H44E22000900006
9179733B4E,F41B21000640001
9517598A53,F45E22000170006
9424901A57,B42F22000090006
95098543C8,F47D22000050006
9424690C37,B44D22000200006
942477418C,B44J22000030006
9424809E6A,B41I22000050006
95335072DB,G45F22000020001
9424809E6A,B41I22000040006
8989865F45,J47H21006060005
904981713E,B41B20001040001
9424827D45,B41I22000070006
94246413CA,B44D22000200006
942477418C,B41I22000080006
