_link,_link_anac-cig,CUP
0.bando.CUP.0,0,B41I22000040006
0.bando.CUP.1,0,B41I22000050006
0.bando.CUP.2,0,B41I22000070006
0.bando.CUP.3,0,D62J22000070001
0.bando.CUP.4,0,D62J22000100006
1.bando.CUP.0,1,J44E22003100006
2.bando.CUP.0,2,F19C22000290006
2.bando.CUP.1,2,F29C22000090006
2.bando.CUP.2,2,F29C22000100006
2.bando.CUP.3,2,F39C22000060006
2.bando.CUP.4,2,F39C22000090006
2.bando.CUP.5,2,F49C22000120006
2.bando.CUP.6,2,F59C22000070006
2.bando.CUP.7,2,F59C22000080006
2.bando.CUP.8,2,F69C22000070006
2.bando.CUP.9,2,F69C22000080006
2.bando.CUP.10,2,F69C22000090006
2.bando.CUP.11,2,F69C22000380006
2.bando.CUP.12,2,F69C22000390006
2.bando.CUP.13,2,F79C22000440006
2.bando.CUP.14,2,F79C22000450006
2.bando.CUP.15,2,F79C22000460006
2.bando.CUP.16,2,F89C22000360006
2.bando.CUP.17,2,F89C22000380006
2.bando.CUP.18,2,F96J22000220006
2.bando.CUP.19,2,F99C22000040006
2.bando.CUP.20,2,F99C22000050006
2.bando.CUP.21,2,F99C22000170006
2.bando.CUP.22,2,G25F21003270006
2.bando.CUP.23,2,G27H21038270006
2.bando.CUP.24,2,G45F21002780006
2.bando.CUP.25,2,G45F22000020001
2.bando.CUP.26,2,G55F21001190006
2.bando.CUP.27,2,G55F21001220006
2.bando.CUP.28,2,G55F21001240006
2.bando.CUP.29,2,G55F21001250006
2.bando.CUP.30,2,G75F22000010001
2.bando.CUP.31,2,G85F22000000001
2.bando.CUP.32,2,G95F21001560006
